participant_id,random_id,repeat_false_alarm_rate,repeat_hit_rate,trial_index,trial_number,time_elapsed,trial_phase,trial_kind,response,rt,confidence_response,correct,is_right,choice_images,correct_image,choice,experiment_purpose,Q1,technical_issues
manatee,p3duj2aujg2,0,0.9,349,1,1372371,Test,exemplar,1,1599,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Ewheelchair2.jpg"",""stimuli\\EXEMPLAR\\USED\\Ewheelchair1.jpg""]",stimuli\EXEMPLAR\USED\Ewheelchair1.jpg,stimuli\EXEMPLAR\USED\Ewheelchair1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,351,2,1375171,Test,state,0,876,5,true,1,"[""stimuli\\STATE\\USED\\Sapple1.jpg"",""stimuli\\STATE\\USED\\Sapple2.jpg""]",stimuli\STATE\USED\Sapple1.jpg,stimuli\STATE\USED\Sapple1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,353,3,1378242,Test,state,1,1654,5,true,1,"[""stimuli\\STATE\\USED\\Sbrie2.JPG"",""stimuli\\STATE\\USED\\Sbrie1.JPG""]",stimuli\STATE\USED\Sbrie1.JPG,stimuli\STATE\USED\Sbrie1.JPG,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,355,4,1383217,Test,state,0,2162,5,true,1,"[""stimuli\\STATE\\USED\\Srhino2.jpg"",""stimuli\\STATE\\USED\\Srhino1.jpg""]",stimuli\STATE\USED\Srhino2.jpg,stimuli\STATE\USED\Srhino2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,357,5,1386673,Test,exemplar,0,1001,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Ebrick2.jpg"",""stimuli\\EXEMPLAR\\USED\\Ebrick1.jpg""]",stimuli\EXEMPLAR\USED\Ebrick2.jpg,stimuli\EXEMPLAR\USED\Ebrick2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,359,6,1389233,Test,exemplar,0,1162,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Espraybottle1.jpg"",""stimuli\\EXEMPLAR\\USED\\Espraybottle2.jpg""]",stimuli\EXEMPLAR\USED\Espraybottle1.jpg,stimuli\EXEMPLAR\USED\Espraybottle1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,361,7,1391462,Test,state,0,934,5,true,1,"[""stimuli\\STATE\\USED\\Sbriefcasemetal1.JPG"",""stimuli\\STATE\\USED\\Sbriefcasemetal2.JPG""]",stimuli\STATE\USED\Sbriefcasemetal1.JPG,stimuli\STATE\USED\Sbriefcasemetal1.JPG,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,363,8,1395658,Test,state,0,2929,2,false,0,"[""stimuli\\STATE\\USED\\Sdrum1.jpg"",""stimuli\\STATE\\USED\\Sdrum2.jpg""]",stimuli\STATE\USED\Sdrum2.jpg,stimuli\STATE\USED\Sdrum1.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,365,9,1401492,Test,state,1,1604,5,true,1,"[""stimuli\\STATE\\USED\\Sseats1.jpg"",""stimuli\\STATE\\USED\\Sseats2.jpg""]",stimuli\STATE\USED\Sseats2.jpg,stimuli\STATE\USED\Sseats2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
manatee,p3duj2aujg2,0,0.9,367,10,1403736,Test,exemplar,0,953,5,true,1,"[""stimuli\\EXEMPLAR\\USED\\Ewineglass2.jpg"",""stimuli\\EXEMPLAR\\USED\\Ewineglass1.jpg""]",stimuli\EXEMPLAR\USED\Ewineglass2.jpg,stimuli\EXEMPLAR\USED\Ewineglass2.jpg,testing subjects on their ability to recall a long list of images,"shape, colour, size, and category of object",
