"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","4568","fullscreen","0","2.0.0","5605","p3zegmnxubt","camel","","","","","","","","","","","","",""
"","995","survey-text","1","2.0.0","6636","p3zegmnxubt","camel","{""participant_id"":""camel""}","","","","","","","","","","","",""
"","882","html-keyboard-response","2","2.0.0","7519","p3zegmnxubt","camel"," ","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","19286","html-keyboard-response","3","2.0.0","26808","p3zegmnxubt","camel"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","28058","p3zegmnxubt","camel","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","30069","p3zegmnxubt","camel","null","stimuli\EXEMPLAR\USED\Espraybottle2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","30578","p3zegmnxubt","camel","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","32584","p3zegmnxubt","camel","null","stimuli\STATE\USED\Stypewriter2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","33091","p3zegmnxubt","camel","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","35107","p3zegmnxubt","camel","null","stimuli\STATE\USED\Sphone1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","35615","p3zegmnxubt","camel","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","37627","p3zegmnxubt","camel","null","stimuli\EXEMPLAR\USED\Epotatochips1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","38135","p3zegmnxubt","camel","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","496","image-keyboard-response","13","2.0.0","40149","p3zegmnxubt","camel"," ","stimuli\EXEMPLAR\USED\Espraybottle2.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","14","2.0.0","40656","p3zegmnxubt","camel","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","42672","p3zegmnxubt","camel","null","stimuli\STATE\USED\Sumbrella2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","16","2.0.0","43209","p3zegmnxubt","camel","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","45223","p3zegmnxubt","camel","null","stimuli\STATE\USED\Spestle2.jpg","","","","","Memory","false","null","","","",""
