"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","788","fullscreen","0","2.0.0","1799","p5lyc28scvl","moose","","","","","","","","","","","","",""
"","1883","survey-text","1","2.0.0","3688","p5lyc28scvl","moose","{""participant_id"":""moose""}","","","","","","","","","","","",""
"","921","html-keyboard-response","2","2.0.0","4611","p5lyc28scvl","moose"," ","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","21393","html-keyboard-response","3","2.0.0","26005","p5lyc28scvl","moose"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","30442","p5lyc28scvl","moose","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","32452","p5lyc28scvl","moose","null","stimuli\EXEMPLAR\USED\Ehelmet2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","32970","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","34975","p5lyc28scvl","moose","null","stimuli\STATE\USED\Swaffleiron2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","35480","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","37490","p5lyc28scvl","moose","null","stimuli\STATE\USED\Saccordionsmall2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","37999","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","40017","p5lyc28scvl","moose","null","stimuli\EXEMPLAR\USED\Efolder1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","40526","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","42541","p5lyc28scvl","moose","null","stimuli\EXEMPLAR\USED\Ebunny2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","14","2.0.0","43055","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","45058","p5lyc28scvl","moose","null","stimuli\STATE\USED\Snapkins1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","16","2.0.0","45569","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","47584","p5lyc28scvl","moose","null","stimuli\STATE\USED\Saccordionsmall2.JPG","","","","","Memory","true","null","","","",""
"","null","html-keyboard-response","18","2.0.0","48094","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","50112","p5lyc28scvl","moose","null","stimuli\EXEMPLAR\USED\Ehotairballoon1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","20","2.0.0","50621","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","52632","p5lyc28scvl","moose","null","stimuli\STATE\USED\Speppers2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","22","2.0.0","53138","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","55152","p5lyc28scvl","moose","null","stimuli\EXEMPLAR\USED\Esantahat1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","24","2.0.0","55667","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","57672","p5lyc28scvl","moose","null","stimuli\EXEMPLAR\USED\Ecamera2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","26","2.0.0","58178","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","60181","p5lyc28scvl","moose","null","stimuli\EXEMPLAR\USED\Etoyplane1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","28","2.0.0","60689","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","820","image-keyboard-response","29","2.0.0","62708","p5lyc28scvl","moose"," ","stimuli\STATE\USED\Speppers2.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","30","2.0.0","63223","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","31","2.0.0","65232","p5lyc28scvl","moose","null","stimuli\STATE\USED\Spatiotable1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","32","2.0.0","65752","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","33","2.0.0","67763","p5lyc28scvl","moose","null","stimuli\EXEMPLAR\USED\Eremover2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","34","2.0.0","68266","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","35","2.0.0","70280","p5lyc28scvl","moose","null","stimuli\STATE\USED\Sjuiceglass2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","36","2.0.0","70795","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","37","2.0.0","72802","p5lyc28scvl","moose","null","stimuli\EXEMPLAR\USED\Estapler2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","38","2.0.0","73307","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","39","2.0.0","75321","p5lyc28scvl","moose","null","stimuli\STATE\USED\Spestle2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","40","2.0.0","75838","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","41","2.0.0","77842","p5lyc28scvl","moose","null","stimuli\STATE\USED\Sdresser2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","42","2.0.0","78353","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","43","2.0.0","80367","p5lyc28scvl","moose","null","stimuli\EXEMPLAR\USED\Eguitar1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","44","2.0.0","80881","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","45","2.0.0","82885","p5lyc28scvl","moose","null","stimuli\EXEMPLAR\USED\Etrowel1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","46","2.0.0","83394","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","792","image-keyboard-response","47","2.0.0","85399","p5lyc28scvl","moose"," ","stimuli\STATE\USED\Spestle2.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","48","2.0.0","85908","p5lyc28scvl","moose","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","49","2.0.0","87922","p5lyc28scvl","moose","null","stimuli\STATE\USED\Sbriefcasemetal2.JPG","","","","","Memory","false","null","","","",""
