"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","9242","fullscreen","0","2.0.0","10250","p6labg5etft","flamingo","","","","","","","","","","","","",""
"","10069","survey-text","1","2.0.0","20323","p6labg5etft","flamingo","{""participant_id"":""flamingo""}","","","","","","","","","","","",""
"","1654","html-keyboard-response","2","2.0.0","21978","p6labg5etft","flamingo"," ","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","31459","html-keyboard-response","3","2.0.0","53438","p6labg5etft","flamingo"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","54328","p6labg5etft","flamingo","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","56331","p6labg5etft","flamingo","null","stimuli\STATE\USED\Smedicaltape1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","56833","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","58837","p6labg5etft","flamingo","null","stimuli\STATE\USED\Spatiotable2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","59339","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","61343","p6labg5etft","flamingo","null","stimuli\STATE\USED\Sbarnmailbox2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","61845","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","63847","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Eelectricbass2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","64351","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","659","image-keyboard-response","13","2.0.0","66354","p6labg5etft","flamingo"," ","stimuli\STATE\USED\Smedicaltape1.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","14","2.0.0","66857","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","68860","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Ebinoculars2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","16","2.0.0","69363","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","71373","p6labg5etft","flamingo","null","stimuli\STATE\USED\Siron1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","18","2.0.0","71876","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","73879","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Echopsticks1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","20","2.0.0","74382","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","76386","p6labg5etft","flamingo","null","stimuli\STATE\USED\Speppers1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","22","2.0.0","76888","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","1064","image-keyboard-response","23","2.0.0","78892","p6labg5etft","flamingo"," ","stimuli\EXEMPLAR\USED\Ebinoculars2.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","24","2.0.0","79394","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","81397","p6labg5etft","flamingo","null","stimuli\STATE\USED\Stiger2.jpg","","","","","Memory","false","null","","","",""
