"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","7879","fullscreen","0","2.0.0","8888","p86x33mjzdl","gazelle","","","","","","","","","","","","",""
"","2389","survey-text","1","2.0.0","11283","p86x33mjzdl","gazelle","{""participant_id"":""gazelle""}","","","","","","","","","","","",""
"","2264","html-keyboard-response","2","2.0.0","13548","p86x33mjzdl","gazelle"," ","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","44211","html-keyboard-response","3","2.0.0","57761","p86x33mjzdl","gazelle"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","58644","p86x33mjzdl","gazelle","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","60649","p86x33mjzdl","gazelle","null","stimuli\STATE\USED\Scooker2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","61152","p86x33mjzdl","gazelle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","63156","p86x33mjzdl","gazelle","null","stimuli\STATE\USED\Sbreadslice2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","63659","p86x33mjzdl","gazelle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","65663","p86x33mjzdl","gazelle","null","stimuli\STATE\USED\Sgrinder2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","66165","p86x33mjzdl","gazelle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","68168","p86x33mjzdl","gazelle","null","stimuli\EXEMPLAR\USED\Eguitar2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","68671","p86x33mjzdl","gazelle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","70676","p86x33mjzdl","gazelle","null","stimuli\EXEMPLAR\USED\Ehanger1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","14","2.0.0","71178","p86x33mjzdl","gazelle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","73182","p86x33mjzdl","gazelle","null","stimuli\STATE\USED\Sdishes1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","16","2.0.0","73684","p86x33mjzdl","gazelle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","75688","p86x33mjzdl","gazelle","null","stimuli\STATE\USED\Srainbowslice2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","18","2.0.0","76191","p86x33mjzdl","gazelle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
