"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","1417","fullscreen","0","2.0.0","2423","p920knkg1w3","trex","","","","","","","","","","","","",""
"","2558","survey-text","1","2.0.0","4987","p920knkg1w3","trex","{""participant_id"":""trex""}","","","","","","","","","","","",""
"","3100","html-keyboard-response","2","2.0.0","8088","p920knkg1w3","trex"," ","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","35865","html-keyboard-response","3","2.0.0","43953","p920knkg1w3","trex","j","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","44942","p920knkg1w3","trex","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","46946","p920knkg1w3","trex","null","stimuli\STATE\USED\Seggplant1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","47450","p920knkg1w3","trex","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","49454","p920knkg1w3","trex","null","stimuli\STATE\USED\Spiggybank2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","49957","p920knkg1w3","trex","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","51961","p920knkg1w3","trex","null","stimuli\STATE\USED\Smedicaltape2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","52463","p920knkg1w3","trex","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","54466","p920knkg1w3","trex","null","stimuli\STATE\USED\Sdishes1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","54969","p920knkg1w3","trex","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","56973","p920knkg1w3","trex","null","stimuli\STATE\USED\Scateringtray2.jpg","","","","","Memory","false","null","","","",""
