"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","1108","fullscreen","0","2.0.0","2115","pcfdh9f6su2","p73","","","","","","","","","","","","",""
"","2636","survey-text","1","2.0.0","4757","pcfdh9f6su2","p73","{""participant_id"":""p73""}","","","","","","","","","","","",""
"","1386","html-keyboard-response","2","2.0.0","6144","pcfdh9f6su2","p73","p","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","39438","html-keyboard-response","3","2.0.0","45584","pcfdh9f6su2","p73"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","48344","pcfdh9f6su2","p73","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","50350","pcfdh9f6su2","p73","null","stimuli\STATE\USED\Sbarnmailbox2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","50852","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","52856","pcfdh9f6su2","p73","null","stimuli\STATE\USED\Saccordionsmall1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","53359","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","55364","pcfdh9f6su2","p73","null","stimuli\EXEMPLAR\USED\Erabbit1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","55868","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","57872","pcfdh9f6su2","p73","null","stimuli\STATE\USED\Shandsign1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","58375","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","60379","pcfdh9f6su2","p73","null","stimuli\STATE\USED\Spolarbear1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","14","2.0.0","60882","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","62886","pcfdh9f6su2","p73","null","stimuli\EXEMPLAR\USED\Etongs2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","16","2.0.0","63388","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","65391","pcfdh9f6su2","p73","null","stimuli\EXEMPLAR\USED\Ekayak1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","18","2.0.0","65894","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","67897","pcfdh9f6su2","p73","null","stimuli\STATE\USED\Sseats2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","20","2.0.0","68400","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","70402","pcfdh9f6su2","p73","null","stimuli\STATE\USED\Spolarbear1.jpg","","","","","Memory","true","null","","","",""
"","null","html-keyboard-response","22","2.0.0","70905","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","72909","pcfdh9f6su2","p73","null","stimuli\STATE\USED\Sdishes2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","24","2.0.0","73412","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","75416","pcfdh9f6su2","p73","null","stimuli\EXEMPLAR\USED\Eswimsuit1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","26","2.0.0","75918","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","77921","pcfdh9f6su2","p73","null","stimuli\STATE\USED\Sbox1.jpg","","","","","Memory","false","null","","","",""
