"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","1360","fullscreen","0","2.0.0","2368","pe7o54mbpf0","hedgehog","","","","","","","","","","","","",""
"","3035","survey-text","1","2.0.0","5409","pe7o54mbpf0","hedgehog","{""participant_id"":""hedgehog""}","","","","","","","","","","","",""
"","1589","html-keyboard-response","2","2.0.0","6999","pe7o54mbpf0","hedgehog"," ","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","80119","html-keyboard-response","3","2.0.0","87119","pe7o54mbpf0","hedgehog"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","89111","pe7o54mbpf0","hedgehog","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","91115","pe7o54mbpf0","hedgehog","null","stimuli\STATE\USED\Sboxwhite1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","91624","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","93644","pe7o54mbpf0","hedgehog","null","stimuli\STATE\USED\Srainbowslice2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","94158","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","96170","pe7o54mbpf0","hedgehog","null","stimuli\STATE\USED\Smedicaltape2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","96682","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","98686","pe7o54mbpf0","hedgehog","null","stimuli\EXEMPLAR\USED\Epliers2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","99203","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","101217","pe7o54mbpf0","hedgehog","null","stimuli\EXEMPLAR\USED\Etoykeys2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","14","2.0.0","101728","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","103742","pe7o54mbpf0","hedgehog","null","stimuli\STATE\USED\Sgrinder1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","16","2.0.0","104243","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","106249","pe7o54mbpf0","hedgehog","null","stimuli\EXEMPLAR\USED\Estapler2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","18","2.0.0","106759","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","108765","pe7o54mbpf0","hedgehog","null","stimuli\EXEMPLAR\USED\Epliers2.jpg","","","","","Memory","true","null","","","",""
"","null","html-keyboard-response","20","2.0.0","109279","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","111282","pe7o54mbpf0","hedgehog","null","stimuli\STATE\USED\Srhino1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","22","2.0.0","111794","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","113798","pe7o54mbpf0","hedgehog","null","stimuli\EXEMPLAR\USED\Echopsticks1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","24","2.0.0","114309","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","1713","image-keyboard-response","25","2.0.0","116322","pe7o54mbpf0","hedgehog"," ","stimuli\STATE\USED\Sredcabbage1.jpg","","","","","Memory","false","false","","","",""
"","null","html-keyboard-response","26","2.0.0","116833","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: red;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","118843","pe7o54mbpf0","hedgehog","null","stimuli\EXEMPLAR\USED\Eteapot1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","28","2.0.0","119358","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","29","2.0.0","121366","pe7o54mbpf0","hedgehog","null","stimuli\EXEMPLAR\USED\Estarfish1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","30","2.0.0","121880","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","31","2.0.0","123885","pe7o54mbpf0","hedgehog","null","stimuli\EXEMPLAR\USED\Emicroscope1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","32","2.0.0","124402","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","1556","image-keyboard-response","33","2.0.0","126418","pe7o54mbpf0","hedgehog"," ","stimuli\STATE\USED\Sredcabbage1.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","34","2.0.0","126930","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","35","2.0.0","128942","pe7o54mbpf0","hedgehog","null","stimuli\STATE\USED\Schinesefoodbox1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","36","2.0.0","129458","pe7o54mbpf0","hedgehog","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","37","2.0.0","131469","pe7o54mbpf0","hedgehog","null","stimuli\EXEMPLAR\USED\Ehoe1.jpg","","","","","Memory","false","null","","","",""
