"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","1730","fullscreen","0","2.0.0","2737","pg0hzpvg3xz","seal","","","","","","","","","","","","",""
"","2405","survey-text","1","2.0.0","5145","pg0hzpvg3xz","seal","{""participant_id"":""seal""}","","","","","","","","","","","",""
"","1006","html-keyboard-response","2","2.0.0","6152","pg0hzpvg3xz","seal"," ","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","17861","html-keyboard-response","3","2.0.0","24014","pg0hzpvg3xz","seal"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","25344","pg0hzpvg3xz","seal","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","27349","pg0hzpvg3xz","seal","null","stimuli\EXEMPLAR\USED\Eteapot1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","27850","pg0hzpvg3xz","seal","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","29852","pg0hzpvg3xz","seal","null","stimuli\STATE\USED\Stypewriter2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","30354","pg0hzpvg3xz","seal","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","32357","pg0hzpvg3xz","seal","null","stimuli\STATE\USED\Sumbrella2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","32858","pg0hzpvg3xz","seal","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","34861","pg0hzpvg3xz","seal","null","stimuli\EXEMPLAR\USED\Etractor2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","35363","pg0hzpvg3xz","seal","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","37366","pg0hzpvg3xz","seal","null","stimuli\STATE\USED\Spotpan2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","14","2.0.0","37868","pg0hzpvg3xz","seal","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","39870","pg0hzpvg3xz","seal","null","stimuli\EXEMPLAR\USED\Escroll2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","16","2.0.0","40373","pg0hzpvg3xz","seal","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","783","image-keyboard-response","17","2.0.0","42376","pg0hzpvg3xz","seal"," ","stimuli\STATE\USED\Sumbrella2.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","18","2.0.0","42878","pg0hzpvg3xz","seal","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","44881","pg0hzpvg3xz","seal","null","stimuli\STATE\USED\Shairbrush2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","20","2.0.0","45382","pg0hzpvg3xz","seal","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","47384","pg0hzpvg3xz","seal","null","stimuli\EXEMPLAR\USED\Erazor2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","22","2.0.0","47887","pg0hzpvg3xz","seal","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","49890","pg0hzpvg3xz","seal","null","stimuli\STATE\USED\Srhino1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","24","2.0.0","50392","pg0hzpvg3xz","seal","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","52395","pg0hzpvg3xz","seal","null","stimuli\EXEMPLAR\USED\Ebell2.jpg","","","","","Memory","false","null","","","",""
