"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","2377","fullscreen","0","2.0.0","3386","phy4ybvdja7","turtle","","","","","","","","","","","","",""
"","2218","survey-text","1","2.0.0","5610","phy4ybvdja7","turtle","{""participant_id"":""turtle""}","","","","","","","","","","","",""
"","2326","html-keyboard-response","2","2.0.0","7938","phy4ybvdja7","turtle"," ","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","31055","html-keyboard-response","3","2.0.0","38994","phy4ybvdja7","turtle"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","42001","phy4ybvdja7","turtle","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","44007","phy4ybvdja7","turtle","null","stimuli\STATE\USED\Sdoughhands2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","44509","phy4ybvdja7","turtle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","46513","phy4ybvdja7","turtle","null","stimuli\EXEMPLAR\USED\Eheadphones1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","47016","phy4ybvdja7","turtle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","49019","phy4ybvdja7","turtle","null","stimuli\EXEMPLAR\USED\Etoywrench1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","49522","phy4ybvdja7","turtle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","51526","phy4ybvdja7","turtle","null","stimuli\EXEMPLAR\USED\Emitt2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","52029","phy4ybvdja7","turtle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","54033","phy4ybvdja7","turtle","null","stimuli\EXEMPLAR\USED\Etoykeys1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","14","2.0.0","54536","phy4ybvdja7","turtle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","610","image-keyboard-response","15","2.0.0","56540","phy4ybvdja7","turtle"," ","stimuli\EXEMPLAR\USED\Eheadphones1.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","16","2.0.0","57043","phy4ybvdja7","turtle","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","59046","phy4ybvdja7","turtle","null","stimuli\STATE\USED\Spie2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","18","2.0.0","59548","phy4ybvdja7","turtle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","61553","phy4ybvdja7","turtle","null","stimuli\STATE\USED\Scoffeemaker2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","20","2.0.0","62055","phy4ybvdja7","turtle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","64059","phy4ybvdja7","turtle","null","stimuli\STATE\USED\Spicnicbasket1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","22","2.0.0","64562","phy4ybvdja7","turtle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","66566","phy4ybvdja7","turtle","null","stimuli\STATE\USED\Sdie1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","24","2.0.0","67068","phy4ybvdja7","turtle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","69071","phy4ybvdja7","turtle","null","stimuli\STATE\USED\Sdishwasher2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","26","2.0.0","69575","phy4ybvdja7","turtle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
