"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","870125","fullscreen","0","2.0.0","871104","pjw2f4uz82k","falcon","","","","","","","","","","","","",""
"","4728","survey-text","1","2.0.0","875836","pjw2f4uz82k","falcon","{""participant_id"":""falcon""}","","","","","","","","","","","",""
"","2616","html-keyboard-response","2","2.0.0","878453","pjw2f4uz82k","falcon"," ","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","24554","html-keyboard-response","3","2.0.0","903008","pjw2f4uz82k","falcon"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","904036","pjw2f4uz82k","falcon","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","906038","pjw2f4uz82k","falcon","null","stimuli\EXEMPLAR\USED\Eladder2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","906542","pjw2f4uz82k","falcon","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","908546","pjw2f4uz82k","falcon","null","stimuli\EXEMPLAR\USED\Ehelmet1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","909049","pjw2f4uz82k","falcon","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","911052","pjw2f4uz82k","falcon","null","stimuli\EXEMPLAR\USED\Etoyplane2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","911555","pjw2f4uz82k","falcon","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","913559","pjw2f4uz82k","falcon","null","stimuli\EXEMPLAR\USED\Enozzle2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","914062","pjw2f4uz82k","falcon","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
