"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","4036","fullscreen","0","2.0.0","5042","pmkev4nz5vv","tardigrade666","","","","","","","","","","","","",""
"","5592","survey-text","1","2.0.0","10636","pmkev4nz5vv","tardigrade666","{""participant_id"":""tardigrade666""}","","","","","","","","","","","",""
"","3182","html-keyboard-response","2","2.0.0","13820","pmkev4nz5vv","tardigrade666","f","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","43463","html-keyboard-response","3","2.0.0","57285","pmkev4nz5vv","tardigrade666"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","72077","pmkev4nz5vv","tardigrade666","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","74082","pmkev4nz5vv","tardigrade666","null","stimuli\EXEMPLAR\USED\Eframe2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","74584","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","76588","pmkev4nz5vv","tardigrade666","null","stimuli\STATE\USED\Sdishwasher1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","77090","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","79109","pmkev4nz5vv","tardigrade666","null","stimuli\EXEMPLAR\USED\Echocolatebar1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","79612","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","81615","pmkev4nz5vv","tardigrade666","null","stimuli\STATE\USED\Sbarnmailbox1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","82118","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","84122","pmkev4nz5vv","tardigrade666","null","stimuli\STATE\USED\Spicnicbasket2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","14","2.0.0","84625","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","832","image-keyboard-response","15","2.0.0","86629","pmkev4nz5vv","tardigrade666"," ","stimuli\STATE\USED\Sdishwasher1.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","16","2.0.0","87133","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","89137","pmkev4nz5vv","tardigrade666","null","stimuli\EXEMPLAR\USED\Emitt2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","18","2.0.0","89640","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","91644","pmkev4nz5vv","tardigrade666","null","stimuli\EXEMPLAR\USED\Emedal2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","20","2.0.0","92148","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","94151","pmkev4nz5vv","tardigrade666","null","stimuli\EXEMPLAR\USED\Etrophy1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","22","2.0.0","94655","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","96659","pmkev4nz5vv","tardigrade666","null","stimuli\STATE\USED\Spiggybank1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","24","2.0.0","97162","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","689","image-keyboard-response","25","2.0.0","99166","pmkev4nz5vv","tardigrade666"," ","stimuli\EXEMPLAR\USED\Emitt2.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","26","2.0.0","99668","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","101671","pmkev4nz5vv","tardigrade666","null","stimuli\EXEMPLAR\USED\Ekayak1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","28","2.0.0","102174","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","29","2.0.0","104178","pmkev4nz5vv","tardigrade666","null","stimuli\STATE\USED\Sphone1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","30","2.0.0","104681","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","31","2.0.0","106685","pmkev4nz5vv","tardigrade666","null","stimuli\STATE\USED\Shandmirror2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","32","2.0.0","107189","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","33","2.0.0","109192","pmkev4nz5vv","tardigrade666","null","stimuli\EXEMPLAR\USED\Elog2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","34","2.0.0","109694","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","35","2.0.0","111697","pmkev4nz5vv","tardigrade666","null","stimuli\STATE\USED\Sflask2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","36","2.0.0","112201","pmkev4nz5vv","tardigrade666","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
