"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","1979","fullscreen","0","2.0.0","2984","po16pvz0ydw","leopard","","","","","","","","","","","","",""
"","2090","survey-text","1","2.0.0","5077","po16pvz0ydw","leopard","{""participant_id"":""leopard""}","","","","","","","","","","","",""
"","3482","html-keyboard-response","2","2.0.0","8560","po16pvz0ydw","leopard"," ","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","13054","html-keyboard-response","3","2.0.0","21615","po16pvz0ydw","leopard"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","23331","po16pvz0ydw","leopard","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","25338","po16pvz0ydw","leopard","null","stimuli\EXEMPLAR\USED\Estapler2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","25841","po16pvz0ydw","leopard","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","27847","po16pvz0ydw","leopard","null","stimuli\EXEMPLAR\USED\Eplate2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","28355","po16pvz0ydw","leopard","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","30364","po16pvz0ydw","leopard","null","stimuli\EXEMPLAR\USED\Ebell2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","30875","po16pvz0ydw","leopard","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","32889","po16pvz0ydw","leopard","null","stimuli\EXEMPLAR\USED\Ebrick2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","33400","po16pvz0ydw","leopard","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","630","image-keyboard-response","13","2.0.0","35411","po16pvz0ydw","leopard"," ","stimuli\EXEMPLAR\USED\Estapler2.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","14","2.0.0","35922","po16pvz0ydw","leopard","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","37928","po16pvz0ydw","leopard","null","stimuli\EXEMPLAR\USED\Eguitar2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","16","2.0.0","38438","po16pvz0ydw","leopard","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","40442","po16pvz0ydw","leopard","null","stimuli\EXEMPLAR\USED\Eholepunch2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","18","2.0.0","40950","po16pvz0ydw","leopard","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","42960","po16pvz0ydw","leopard","null","stimuli\STATE\USED\Sbureau2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","20","2.0.0","43471","po16pvz0ydw","leopard","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","45480","po16pvz0ydw","leopard","null","stimuli\STATE\USED\Srhino2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","22","2.0.0","45986","po16pvz0ydw","leopard","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","47994","po16pvz0ydw","leopard","null","stimuli\EXEMPLAR\USED\Edispenser1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","24","2.0.0","48505","po16pvz0ydw","leopard","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","50512","po16pvz0ydw","leopard","null","stimuli\STATE\USED\Slockbox1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","26","2.0.0","51020","po16pvz0ydw","leopard","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","53027","po16pvz0ydw","leopard","null","stimuli\EXEMPLAR\USED\Ehanger1.jpg","","","","","Memory","false","null","","","",""
