"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","1514243","fullscreen","0","2.0.0","2794807","ppj3b623m4f","eagle","","","","","","","","","","","","",""
"","4378","survey-text","1","2.0.0","2799189","ppj3b623m4f","eagle","{""participant_id"":""eagle""}","","","","","","","","","","","",""
"","1399","html-keyboard-response","2","2.0.0","2800591","ppj3b623m4f","eagle","ArrowRight","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","27154","html-keyboard-response","3","2.0.0","2827745","ppj3b623m4f","eagle"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","2829573","ppj3b623m4f","eagle","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","2831576","ppj3b623m4f","eagle","null","stimuli\STATE\USED\Sdoughhands1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","2832080","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","2834091","ppj3b623m4f","eagle","null","stimuli\EXEMPLAR\USED\Eladder2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","2834593","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","2836596","ppj3b623m4f","eagle","null","stimuli\STATE\USED\Spicnicbasket2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","2837098","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","2839102","ppj3b623m4f","eagle","null","stimuli\EXEMPLAR\USED\Earch2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","2839604","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","610","image-keyboard-response","13","2.0.0","2841607","ppj3b623m4f","eagle"," ","stimuli\STATE\USED\Sdoughhands1.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","14","2.0.0","2842110","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","2844113","ppj3b623m4f","eagle","null","stimuli\EXEMPLAR\USED\Econe1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","16","2.0.0","2844617","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","2846620","ppj3b623m4f","eagle","null","stimuli\EXEMPLAR\USED\Eremover1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","18","2.0.0","2847122","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","2849125","ppj3b623m4f","eagle","null","stimuli\EXEMPLAR\USED\Enozzle1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","20","2.0.0","2849628","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","2851630","ppj3b623m4f","eagle","null","stimuli\EXEMPLAR\USED\Eframe1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","22","2.0.0","2852134","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","2854137","ppj3b623m4f","eagle","null","stimuli\STATE\USED\Sskull2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","24","2.0.0","2854640","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","2856643","ppj3b623m4f","eagle","null","stimuli\STATE\USED\Sbook2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","26","2.0.0","2857145","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","2859148","ppj3b623m4f","eagle","null","stimuli\STATE\USED\Sscanner1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","28","2.0.0","2859651","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","739","image-keyboard-response","29","2.0.0","2861654","ppj3b623m4f","eagle"," ","stimuli\EXEMPLAR\USED\Eframe1.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","30","2.0.0","2862157","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","31","2.0.0","2864160","ppj3b623m4f","eagle","null","stimuli\EXEMPLAR\USED\Etoyhand1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","32","2.0.0","2864670","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","33","2.0.0","2866673","ppj3b623m4f","eagle","null","stimuli\EXEMPLAR\USED\Emedal1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","34","2.0.0","2867176","ppj3b623m4f","eagle","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
