"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"true","64730","fullscreen","0","2.0.0","65735","prsues5texd","cheetah","","","","","","","","","","","","",""
"","2752","survey-text","1","2.0.0","68495","prsues5texd","cheetah","{""participant_id"":""cheetah""}","","","","","","","","","","","",""
"","1572","html-keyboard-response","2","2.0.0","70068","prsues5texd","cheetah"," ","<p>Welcome to the Massive Memory Experiment. Press any key to move on. </p>","","","","","","","","","","",""
"","21765","html-keyboard-response","3","2.0.0","91834","prsues5texd","cheetah"," ","
      <div style='width:900px;margin: auto;'><p>In the first section you will see a stream of images, with fixation crosses in between each image.</p>
      <p>Each image will remain on screen for 2 seconds. Your job is to detect images that you have seen before within the experiment. Whenever you see an image that you have seen previously <b>at any point in the stream of images</b>, press the spacebar.</p>
      <p>We will let you know if you have correctly or falsely clicked the spacebar on an image by changing the color of the fixation cross.</p>
      <p>If you press the spacebar correctly (the image really did appear earlier), the fixation cross will turn green. If you pressed the spacebar incorrectly, the fixation cross will turn red.</p>
      <p>Please watch carefully to detect the images that show up again!</p>
      <p>Press any key to start.</p></div>
    ","","","","","","","","","","",""
"true","","preload","4","2.0.0","97660","prsues5texd","cheetah","","","false","[]","[]","[]","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","99665","prsues5texd","cheetah","null","stimuli\STATE\USED\Sscissors2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","6","2.0.0","100168","prsues5texd","cheetah","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","102171","prsues5texd","cheetah","null","stimuli\STATE\USED\Scateringtray2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","8","2.0.0","102674","prsues5texd","cheetah","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","104678","prsues5texd","cheetah","null","stimuli\EXEMPLAR\USED\Eballoon1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","10","2.0.0","105181","prsues5texd","cheetah","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","107185","prsues5texd","cheetah","null","stimuli\STATE\USED\Scooker2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","12","2.0.0","107689","prsues5texd","cheetah","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","109693","prsues5texd","cheetah","null","stimuli\EXEMPLAR\USED\Ebrick1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","14","2.0.0","110197","prsues5texd","cheetah","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","112201","prsues5texd","cheetah","null","stimuli\EXEMPLAR\USED\Ecalculator2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","16","2.0.0","112702","prsues5texd","cheetah","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","114706","prsues5texd","cheetah","null","stimuli\STATE\USED\Sdryer2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","18","2.0.0","115209","prsues5texd","cheetah","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","700","image-keyboard-response","19","2.0.0","117211","prsues5texd","cheetah"," ","stimuli\STATE\USED\Scooker2.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","20","2.0.0","117714","prsues5texd","cheetah","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","119717","prsues5texd","cheetah","null","stimuli\STATE\USED\Seggplant2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","22","2.0.0","120220","prsues5texd","cheetah","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
